class_a,class_b,relation,ans_yamasaki,ans_ueda,ans_daisuke,ans_hosomi,ans_kazuma,ans_sugi
racket,ball,k,k,k,k,k,k,h1
block,ball,k,k,k,k,h2,s2,k
player,beam,k,h2,s2,k,s2,s2,k
alien,shot,k,k,s2,k,s2,k,k
bar_block,block,h1,s1,h1,h1,h1,h2,h1
L_shape_block,block,h1,s1,h1,h1,h1,h2,h1
Z_shape_block,block,h1,s1,h1,h1,h1,h2,h1
T_shape_block,block,h1,s1,h1,h1,h1,h2,h1
square_shape_block,block,h1,s1,h1,h1,h1,h2,h1
block,board,s1,h1,s1,s1,s1,k,k
mushroom,object,h1,s1,h1,h1,h2,s1,h1
coin,object,h1,s1,h1,h1,h2,s1,h1
enemy,object,h1,s1,k,h1,h1,s1,h1
object,map,s1,k,k,h2,h1,s2,h2
jump_item,object,h1,s1,h1,h2,h2,s1,h1
map,player,k,k,k,k,k,k,k
door_event,event,k,s1,h1,h1,h1,h1,h1
event,map,s1,k,k,k,k,k,k
character,map,s1,k,k,k,k,k,k
move_event,event,k,s1,h1,h1,h1,h1,h1
treasure_event,event,k,s1,h1,h1,h1,h1,h1
student,college,s1,k,s1,k,s1,s1,s1
account,atm,k,h1,k,k,s1,s1,k
atm,bank,s1,h2,s1,s1,s2,k,s1
account,bank,s1,k,k,k,s1,s1,s1
customer,account,k,k,s1,k,h1,k,k
player,team,s1,s1,s1,s1,h1,s1,s1
game,team,k,h1,k,k,k,k,s2
game,tournament,s1,h2,s1,s1,h2,k,s2
baseball_player,ball,k,k,k,k,s2,k,k
catcher,player,h1,s1,h1,h1,s1,h1,h1
pitcher,player,h1,s1,h1,h1,s2,h1,h1
guest,hotel,k,k,k,k,s1,k,k
room,hotel,s1,s1,s1,s1,h1,k,s1
wheel,car,s1,h1,s1,s1,h1,s1,s1
airplane,vehicle,h1,k,h1,h1,k,k,h1
car,vehicle,h1,k,h1,h1,h1,k,h1
receptionist,department,s1,s1,s1,s1,h1,s1,h1
pharmacist,department,s1,s1,s1,s1,k,s1,h1
accountant,department,s1,s1,s1,s1,h1,s1,h1
pharmacist,prescription,k,k,k,k,k,k,k
prescription,medical_record,s1,k,s1,k,k,k,s1
patient,medical_record,s1,k,s1,k,k,k,s1
doctor,medical_record,k,k,s1,k,k,k,s1
nurse,department,s1,s1,k,s1,s1,k,h1
accountant,prescription,k,k,k,k,k,k,k
order,cart,k,k,k,k,k,k,s2
item,cart,s1,k,s1,k,h1,k,s1
item_controller,system,s1,s1,k,k,s1,s1,s1
user_controller,system,s1,s1,k,k,s1,s1,s1
item,item_controller,s1,k,k,k,h2,h2,k
user,user_controller,s1,k,s1,k,h1,h2,k
order_information,order,s1,h1,s1,k,h1,h1,s1
user,order,k,k,k,k,k,k,k
printer,item,h1,k,h1,h1,s1,h1,h1
camera,item,h1,s1,h1,h1,h2,h1,h1
customer,order,k,k,k,k,k,s1,k
order_item,item,h1,s1,s1,h1,h1,h1,s2
order_item,order,s1,h1,s1,k,h1,h1,s2
order,delivery,k,k,s2,k,k,k,k
delivery,delivery_center,k,h1,s1,k,h1,h2,s1
item,delivery_center,k,k,k,s1,s2,h1,k
department,company,s1,k,k,s1,s1,k,s1
employee,department,s1,s1,k,s1,s1,s1,s1
file,directory,s1,s1,s1,s2,k,k,s1
triangle,shape,h1,h1,h1,h1,h1,h1,h1
square,shape,h1,h1,h1,h1,h1,h1,h1
circle,shape,h1,h1,h1,h1,h1,h1,h1
rectangle,shape,h1,h1,h1,h1,h1,h1,h1
director,employee,h1,k,k,h1,k,k,h1
chief,employee,h1,k,k,h1,k,k,h1
normal_item,item,h1,h1,h1,h1,h1,h1,h1
bargain_item,item,h1,h1,h1,h1,h1,h1,h1
new_item,item,h1,h1,h1,h1,h1,h1,h1
order_detail,order,h1,h1,s1,k,h1,h1,s1
item,catalog,s1,k,k,s1,s1,k,s1
item,item_manager,s1,k,k,k,h1,h2,k
book,resource,h1,s1,k,k,s1,k,h1
category,resource,h1,k,k,k,k,k,h1
create,action,h1,s1,s1,h1,k,s1,h1
update,action,h1,s1,s1,h1,k,s1,h1
delete,action,h1,s1,s1,h1,k,s1,h1
corporate_customer,customer,h1,h2,h1,h1,h1,h1,h1
personel_customer,customer,h1,h1,h1,h1,h1,h1,h1
employee,corporate_customer,k,k,h2,h1,h2,k,k
order_line,product,k,k,s1,k,k,k,s2
order_line,order,s1,k,s1,k,h1,h1,s2
female,person,h1,h1,h1,h1,h1,s1,h1
male,person,h1,h1,h1,h1,h1,s1,h1
doctor,person,h1,k,h1,h1,h1,s1,h1
therapist,person,h1,k,h1,h1,h1,s1,h1
nurse,person,h1,k,h1,h1,h1,s1,h1
surgeon,doctor,h1,s1,h1,k,k,k,h1
manager,person,h1,k,h1,h1,h2,s1,h1
engineer,person,h1,k,h1,h1,h1,s1,h1
salesman,person,h1,k,h1,h1,h2,s1,h1
summary_account,account,h1,h1,h1,k,h1,h1,h1
detail_account,account,h1,h1,h1,k,h1,h1,h1
account,entry,k,k,s2,k,k,k,k
oxygen,air,s1,s1,s1,s1,h2,s1,s1
arm,body,s1,h1,s1,s1,h1,s1,s1
leg,body,s1,h1,s1,s1,h2,s1,s1
hand,arm,s1,k,s1,s1,h1,k,k
hand,body,s1,h1,s1,s1,h1,k,s1
saddle,bike,s1,h1,s1,s1,k,s1,s1
frame,bike,s1,h1,s1,s1,k,s1,s1
bike,vehicle,h1,h1,h1,h1,s1,k,h1
rider,bike,k,k,k,k,k,k,k
bike,tyre,s1,h2,s2,s2,k,s2,s2
handle,bike,s1,h1,s1,s1,k,s1,s1
brake,bike,s1,k,s1,s1,k,s1,s1
train,vehicle,h1,h2,h1,h1,s1,k,h1
road,intersection,s1,h1,h1,s1,s1,h2,s1
signal,intersection,s1,k,s1,s1,k,h1,s1
car,road,k,k,k,k,k,k,k
student,school,s1,k,k,k,s1,s1,s1
teacher,school,s1,k,k,k,s1,s1,s1
class,school,s1,s1,s1,k,s1,s1,s1
student,class,s1,s1,s1,s1,s1,s1,s1
teacher,class,s1,s1,s1,s1,s1,s1,s1
student,teacher,k,k,k,k,k,k,k
speaker,devise,h1,s1,k,h1,k,s1,h1
microphone,devise,h1,s2,h1,h1,k,s1,h1
speaker,headset,s1,k,k,s1,h1,k,s1
microphone,headset,s1,k,k,s1,k,k,s1
headset,devise,h1,s1,h1,h1,h2,h1,h1
mouse,devise,h1,s1,h1,h1,s1,h1,h1
keyboard,devise,h1,s1,h1,h1,s1,h1,h1
mouse,computer,k,h1,s1,k,k,s1,k
keyboard,computer,k,h1,s1,k,k,s1,k
vip_account,account,h1,h1,h1,h1,h1,h2,h1
beginner_account,account,h1,h1,h1,h1,h1,h2,h1
soccer,sport,h1,s1,h1,h1,s1,s1,h1
baseball,sport,h1,s1,h1,h1,s1,s1,h1
tennis,sport,h1,s1,h1,h1,s1,s1,h1
player,sport,k,k,k,k,k,k,s1
worker,team,s1,s1,s1,s1,h1,s1,s1
assistant,team,s1,k,s1,s1,h1,s1,s1
team,company,s1,h1,k,s1,k,k,s1
worker,company,s1,k,s1,s1,k,s1,s1
worker,employee,h1,s1,k,h1,h2,k,h1
team,employee,h1,h2,k,s2,h1,s2,s2
engineer,employee,h1,h1,k,h1,s1,h2,h1
engineer,team,s1,k,s1,s1,k,s1,s1
customer_hobby,customer,s1,h1,s1,h1,h1,h1,s1
customer_score,customer,s1,h1,s1,h1,h1,h1,s1
customer,customer_system,k,h2,s1,k,h2,h2,s1
customer_system,administrator,k,k,s2,k,k,k,k
merchant_interface,administrator,k,k,k,k,k,k,k
merchant,merchant_interface,k,h2,s2,k,k,h2,k
commodity,merchant,s1,k,k,k,s1,k,k
customer,merchant,k,k,k,k,k,k,k
order,passenger,k,k,k,k,h2,k,k
order_flight,order,h1,h1,h1,k,h1,h1,h1
schedule_flight,order_flight,k,k,s1,k,k,k,s1
schedule,schedule_flight,k,h2,h2,k,,h2,h2
flight,airport,k,k,k,k,k,k,s1
schedule_flight,flight,h1,k,k,k,h1,h1,h1
doctor,department,s1,s1,s1,k,s1,s1,h1
patient,doctor,k,k,s1,k,h1,k,k
patient,room,k,k,k,k,k,s1,s1
patient,receptionist,k,k,k,k,k,k,k
patient,bill,k,k,k,k,s1,k,k
receptionist,bill,k,k,k,k,s1,k,k
librarian,book,k,k,k,k,k,k,k
reference_book,book,h1,h1,h1,h1,h1,h1,h1
general_book,book,h1,h1,h1,h1,h1,h1,h1
book,user,k,k,k,k,k,k,k
user,librarian,k,k,k,h2,k,h2,h2
student,user,h1,s1,h1,h1,s1,s1,h1
faculty,user,h1,k,k,k,s1,k,s1
librarian,publisher,k,k,k,k,k,k,k
administrator,account,h1,k,k,h1,k,s2,k
web_user,account,h1,h1,h1,h1,h1,k,s2
product,order,s1,k,s1,k,h1,s1,s1
administrator,order,k,k,k,k,s2,k,k
payment,order,k,k,s1,k,h1,k,s1
web_user,payment,k,k,k,k,h2,k,k
account,order,k,k,k,k,h2,k,k
ticket,customer,k,k,k,k,k,s1,k
refund,customer,k,k,k,k,k,s1,k
booking_counter,customer,k,h1,s1,k,k,h1,k
agent,customer,k,k,k,k,k,k,k
agent,ticket,k,k,k,k,h1,s1,k
agent,reservation_function,h1,k,k,k,s2,k,k
booking_counter,ticket,k,k,k,k,s1,k,s2
address,person,s1,k,s1,k,k,s1,s1
student,person,h1,s1,h1,h1,s2,h1,h1
professor,person,h1,s1,h1,h1,s1,s1,h1
student,seminar,s1,k,s1,k,k,s1,s1
student,seminar_enrollment,k,k,k,k,h1,k,k
seminar_enrollment,seminar,k,h1,s1,k,h1,h1,k
professor,seminar,s1,k,k,k,s1,k,s1
seminar,course,k,s2,s2,s1,s1,k,s2
administrator,customer,k,k,k,k,k,k,k
cart,customer,k,k,s1,k,k,k,s1
product,cart,s1,k,s1,k,s2,s1,s1
seller,administrator,k,k,k,k,k,h1,k
company,seller,k,k,k,k,s1,k,s2
company,order,k,k,k,k,s2,k,s2
order,credit_card,k,k,k,k,k,k,s2
seller,product,k,k,s1,k,s1,k,s2
administrator,user,h1,k,h1,h1,s1,h2,h1
team_member,user,h1,k,h1,h1,s1,s2,h1
team_leader,team_member,h1,k,s1,h1,h1,h2,h1
task_system,team_member,k,k,s2,k,k,k,s2
task_system,project,k,k,k,k,s2,s1,s2
task_system,task,k,h1,s1,k,h1,h1,s2
order,client,k,k,s1,k,k,k,s1
corporation_client,client,h1,h1,h1,h1,h2,k,h1
individual_client,client,h1,h1,h1,h1,h1,h1,h1
corporation_client,employee,s1,k,s1,h2,k,k,k
product,employee,s1,k,k,k,k,k,k
product,inventory,s1,k,s1,k,s1,h2,s1
order_information,product,s1,k,k,k,s1,s2,s2
customer,shopping_interface,k,k,k,k,k,k,k
shopping_interface,shopping_basket,k,k,s2,k,k,h2,h2
shopping_interface,item_shelf,k,k,s1,k,k,s2,h2
item,item_shelf,s1,h1,s1,s1,s1,h1,s1
item,shopping_basket,s1,k,s1,k,h2,s1,s1
selling_interface,item_shelf,k,k,k,k,k,k,h2
selling_interface,marketer,k,k,k,k,k,k,k
customer,person,h1,s1,h1,h1,s1,s1,h1
marketer,person,h1,s1,h1,h1,s1,s1,h1
shopping,customer,k,k,k,k,h1,k,s2
item_shelf,shopping,s1,k,k,k,h1,k,s1
shopping_basket,shopping,s1,h1,s1,k,h2,s1,s1
square,field,s1,s1,s1,s1,h2,s1,s1
turn,field,k,k,k,k,k,s1,s1
turn,dice,k,k,k,k,h1,k,s2
start_square,square,h1,h1,h1,h1,h1,h1,h1
goal_square,square,h1,h1,h1,h1,h1,h1,h1
player,gameboard,k,k,s1,k,k,k,k
player,dice,k,k,k,k,k,k,k
square,gameboard,s1,s1,s1,s1,h1,k,s1
interface,account,k,k,k,k,k,s2,k
interface,hotel,k,k,k,k,k,s2,k
reservation_interface,interface,h1,h1,h1,h1,s1,h1,h1
cancellation_interface,interface,h1,h1,h1,h1,s1,h1,h1
account,booking,k,k,k,k,h2,k,k
booking_data,database,s1,h1,s1,s1,s1,h1,h1
account_data,database,s1,s1,s1,s1,h1,h1,h1
hotel_data,database,s1,s1,s1,s1,h1,h1,h1
database,system,k,k,s1,s1,k,s1,s1
booking_function,system,s1,k,s1,k,k,s1,s1
cancellation_function,system,s1,k,s1,k,h1,s1,s1
turn,record,s1,k,s1,k,k,k,k
gameboard,turn,k,k,k,k,k,k,s1
hand_piece,turn,k,s1,k,k,k,k,k
piece,record,k,k,s1,k,k,k,k
driver,speedometer,k,k,k,k,k,k,k
driver,pedal,k,k,k,k,h2,k,k
pedal,automobile_engine,k,k,s1,k,k,k,k
speedometer,automobile_engine,k,k,s1,k,k,s1,k
accelerator,pedal,h1,k,s2,k,h2,k,k
brake_pedal,pedal,h1,h1,h1,h1,h1,h1,h1
driver,automobile,k,k,k,s1,h2,k,k
pedal,automobile,s1,h1,s1,s1,k,s1,s1
automobile_engine,automobile,s1,h1,s1,s1,s1,s1,s1
speedometer,automobile,s1,h1,s1,s1,k,s1,s1
